InterestGroups,InitiativeNumber,InitiativeName,Summary,FocusArea,Timeframe,StartDate,CompletionDate,ResponsibleAgency,LocalGovernmentAreas,Status,Image,ImageAlt
Farmer,1,Deliver Queensland?s Collaborative Exploration Initiative ,"The Collaborative Exploration Initiative (CEI) supports Queensland?s exploration companies to grow and make discoveries that will develop into future mines for the benefit of the state. The Department of Resources? Geological Survey of Queensland manages the initiative. Data from the CEI rounds is made publicly available after the confidentiality period expires. Applications for round 6 of the CEI opened in November 2021, with funding secured until 2024.",1: Grow and diversify the industry,2021-2024,2007,30/06/2024,Department of Resources,CENTRAL HIGHLANDS REGIONAL,Not started ,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Farmer,2,Pilot the re-commercialisation of an abandoned mine���,"Queensland has approximately 120 complex abandoned mine sites. Several sites have re-commercialisation potential due to their tailings storages, stockpiles or remaining in-ground resources. This is a growing area of interest, as investors are increasingly considering mining within a circular economy, and technology used to recover minerals in these sites is improving constantly. The government will conduct a pilot program to release a high-priority abandoned mine site with re-commercialisation potential through market sounding, followed by a competitive tender process. Learnings from this pilot will help inform future releases.",1: Grow and diversify the industry,2022,,30/09/2022,Department of Resources,BANANA SHIRE,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Farmer,3,Investigate promotion strategies for Queensland?s new economy minerals�,"The resources industry will need specialist promotion, engagement and advocacy to capitalise effectively on shifts in both the global economy and the industry. Multiple strategies could be used to promote and advocate our new economy minerals to international markets, particularly the Indo?Pacific, Europe and North America. The Queensland Government will investigate whole-of-government promotion strategies to take full advantage of shifts in the global economy and the local resources industry.",1: Grow and diversify the industry,Ongoing,,30/03/2022,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Farmer,4,Develop a Queensland Battery Industry Strategy�,"Queensland has an opportunity to extend the local supply chain for new economy minerals, particularly the development of battery chemicals and possibly battery manufacturing. This could increase economic development and employment in the regions. While Queensland?s battery supply chain is not yet fully established, research is underway nationally to investigate developing commercial-scale, domestically built batteries. To capitalise on this opportunity, we will develop a Battery Industry Strategy to seize the opportunities that this supply chain offers and integrate Queensland?s efforts with work being done nationally.",1: Grow and diversify the industry,2022-2023,,30/03/2022,DSDILGP; DRDMW; DEPW,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Farmer,5,Continue to implement the Queensland Government?s Advanced Manufacturing 10-Year Roadmap and Action Plan�,"Since the 2016 release of the Advanced Manufacturing 10-Year Roadmap and Action Plan, the government has supported Queensland manufacturers to transform the industry by adopting industry 4.0 technologies, systems, practices and processes.17 Queensland?s abundance of new economy minerals provides significant opportunities for Queensland?s manufacturing sector to value-add locally. We will continue to implement our Advanced Manufacturing Roadmap and Action Plan.",1: Grow and diversify the industry,2016-2026,,N/A,DRDMW,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Farmer,6,Continue to support regional manufacturing hubs�,"Regional manufacturing hubs in Cairns, Townsville, Rockhampton, Gladstone, Mackay and the Gold Coast support the growth of regional manufacturers. The hub program will create more than 3,350 jobs and an estimated $153 million of economic growth by mid-2022. The Manufacturing Hubs Grants Program provides $13.5 million of funding to eligible businesses in the Cairns, Townsville, and Central Queensland regions. This grants program will remain open to eligible applicants until June 2022 or once the program is fully subscribed.",1: Grow and diversify the industry,2021-2022,,N/A,DRDMW,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Miner,7,Implementing a rent deferral framework for new economy minerals,"Resource authority holders pay rent for the exclusive right to explore, develop or produce the state?s non-renewable resources. To ensure rent is not a barrier to greenfield new economy minerals projects and enable the industry to redirect funds towards these projects, the government will review rent for new economy minerals projects. We will consider rent deferrals during development phases and other opportunities for assistance. Any deferred rent would need to be paid in full.",1: Grow and diversify the industry,2022,,Phase 1: 30/03/2022,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Miner,8,Facilitate and investigate common user infrastructure�,"Government has long supported the development of common user infrastructure, such as roads, rail, ports and electricity, to stimulate investment and assist major resource developments to proceed. While traditional common user infrastructure will remain important, very different infrastructure will be needed to extract and process new economy minerals. We will investigate the feasibility and financial sustainability of common user infrastructure opportunities in partnership with industry. Where government support for this infrastructure is required to help de-risk development, improve project viability and attract additional investment, it must support more jobs in regional Queensland and provide sustainable public benefits.",1: Grow and diversify the industry,Ongoing,,,DSDILGP,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Miner,9,Complete the Bowen Basin pipeline concept study�,"Gas pipelines are essential common user infrastructure that brings gas to the domestic and international markets. The Queensland and Australian governments have jointly contributed $10 million for a Bowen Basin pipeline study. This study will investigate potential pipeline pathways and ways to optimise the Bowen Basin gas resources. It will also investigate opportunities to use fugitive emissions from coal mines to help Queensland transition to a low-carbon economy. The study will occur in multiple phases, the first being a concept study to be completed by the end of 2021.",1: Grow and diversify the industry,2021,,"Phase 2: TBC, subject to CBRC consideration. ",Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Miner,10,Review the Petroleum and Gas (Production and Safety Act) 2004 to enable hydrogen and other clean energy resources�,"Hydrogen and other gases, such as biogas and biomethane, are clean energy resources that will be vital for Queensland?s and the world?s transition to net zero emissions by 2050. In line with the agreement of Australia?s energy ministers, the Queensland Government will review the Petroleum and Gas (Production and Safety) Act 2004 to bring biomethane, hydrogen blends and other renewable methane gas blends under the Act, and provide an efficient and transparent regulatory framework for these resources.",1: Grow and diversify the industry,2022-24,Not yet commenced,N/A,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Miner,11,"Investigate carbon capture, use and storage exploration�",CCUS technology and innovation enable greenhouse gas emissions to be stored geologically. This presents opportunities for emissions-intensive industries like power generation and resources to decarbonise their operations. The Queensland Government will include areas for carbon storage feasibility exploration (under the Greenhouse Gas Storage Act 2009) in the Queensland Exploration Program. This will involve a competitive tender process for relevant permits. Government will not issue permits until robust environmental impact assessments have been completed.,1: Grow and diversify the industry,Ongoing,2-Dec,,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Miner,12,Continue to implement the Queensland METS roadmap and action plan�,"Queensland has a world-leading METS sector, which comprises more than 800 METS companies. This is more than any other Australian state. In 2017, the Queensland Government launched the Queensland METS 10-Year Roadmap and Action Plan. The government will provide $1.4 million in funding over four years to 2024?25 to support the continued growth of the METS sector. This funding will ensure the roadmap continues to respond to emerging challenges and opportunities.",1: Grow and diversify the industry,2017-2027,,30/03/2024,DSDILGP,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Miner,13,Refresh Queensland?s approach to innovation�,"After 6 years of delivering Advance Queensland, the Queensland Government is refreshing its approach to innovation in the context of rapidly advancing technologies and ways of doing business.19 Entrepreneurs and start-ups supported in the early stages of Advance Queensland are now scaling up, with many attracting major investment, creating high value jobs and entering global markets. Queensland innovators are helping to reimagine sectors like mining, agriculture, manufacturing and logistics. The Queensland Government has appointed its fourth Chief Entrepreneur, established a new Innovation Advisory Council, and is engaging with industry to transform our traditional industries through innovations such as artificial intelligence, immersive technologies, machine learning, and advanced robotics.",1: Grow and diversify the industry,Ongoing,,,Department of Tourism,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,14,Establish a government-industry working group to determine appropriate government action��,"To determine the appropriate size of government response to this international trend, the Queensland Government will establish an ESG working group. The group will comprise representatives from industry, government, investors, the community and academia. The working group will make recommendations to government on their role in supporting ESG for the resources industry.",2: Strengthen Queensland's ESG credentials and protect the environment,2022,,TBC,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,15,Investigate support required for industry to build ESG capability�,"Most?if not all?of Queensland?s large resources companies already report against their preferred ESG protocol, such as the: 
� Task Force on Climate-Related Financial Disclosures21 
� United Nations? Sustainable Development Goals.
22 However, junior and mid-level explorers and miners may be unsure how to get ESG-ready for their markets. The Queensland Government will investigate ways to help industry build the capability of junior and mid-level explorers and miners to meet increasing ESG requirements.",2: Strengthen Queensland's ESG credentials and protect the environment,2022-2023,,N/A,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,16,"Investigate research and development support options, particularly for mineral traceability technology��","As the global shift to a decarbonised economy gains momentum, Queensland developers can differentiate their new economy minerals by proving their ESG credentials through traceability and provenance technology, such as blockchain. Mineral traceability is a growing research and development industry locally, nationally and internationally. The Queensland Government will investigate what research and development support is needed to help resources companies demonstrate the provenance of their minerals and metals. This includes support for traceability technology.",2: Strengthen Queensland's ESG credentials and protect the environment,2022-2023,,1/01/2024,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,17,Continue to implement the financial assurance and mine rehabilitation reforms�,"The Queensland Government will continue to embed the rehabilitation and financial assurance reforms. One of the final actions in the financial assurance and mine rehabilitation program relates to the Queensland Government?s residual risk reforms, which commenced on 20 August 2020. These reforms give industry more clarity and certainty about the surrender of resources sites. The government has been doing consultation to finalise the Residual Risk Assessment Guideline and its associated calculator. The guideline and calculator is expected to be finalised by the end of 2021.",2: Strengthen Queensland's ESG credentials and protect the environment,ongoing,,,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,18,Require industry to develop plans to decarbonise operations��,"The Queensland Government expects the resources industry to develop and implement plans that provide a pathway to net zero emissions operations. The government will consider: 
� establishing an operational policy that requires applicants to reduce Scope 1 and Scope 2 emissions for new and amended environmental authorities, as well as a reporting and monitoring framework to demonstrate progress 
� updating the generic terms of reference for environmental impact statements to require applicants to prepare a greenhouse gas abatement plan to demonstrate how they can move towards net zero emissions 
� establishing model conditions that require authority holders to implement greenhouse gas abatement plans, and report on progress regularly and publicly 
� providing transition options for existing resources environmental authorities",2: Strengthen Queensland's ESG credentials and protect the environment,2022-2023,,NA,DES,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,19,Investigate innovative options to support junior and mid-level companies to decarbonise operations�,"While many major resources companies have already adopted net zero emissions targets and developed plans to decarbonise their operations, small and mid-level operators may need more support. The Queensland Government will investigate innovative options to support industry in building the capability of junior and mid-level resources companies to decarbonise operations. The government will engage closely with industry and consider what it needs in terms of additional training and capacity building around decarbonisation options, technology and reporting.",2: Strengthen Queensland's ESG credentials and protect the environment,2022-2023,,30/04/2022,DES,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,20,Investigate establishment of an independent Environmental Protection Agency�,"The Queensland Government is investigating and consulting on the establishment of an independent Environmental Protection Agency (EPA) to: 
� protect Queensland?s environment 
� provide more certainty for investment 
� support Queensland?s economic recovery. 
The Department of Environment and Science has started investigating the feasibility of an independent EPA. This includes public consultation, which will give everyone an opportunity to have their say about environmental protection in Queensland.",2: Strengthen Queensland's ESG credentials and protect the environment,2022-2023,,N/A,DES,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,21,Continue Kati Thanda?Lake Eyre Basin reforms�,"The Queensland Government has committed to establishing a stakeholder advisory group to consult on how an appropriate balance of environmental and economic considerations can be achieved in Kati Thanda?Lake Eyre Basin. It is expected that a consultation regulatory impact statement will be released in 2022 outlining proposals to achieve these objectives. The final proposals are intended to provide regulatory certainty for activities within the Basin, including resource activities, by clarifying and simplifying: 
� the approvals that are required 
� what activities can occur 
� the restrictions that will apply to activities from a planning perspective",2: Strengthen Queensland's ESG credentials and protect the environment,2022-2023,,N/A,DES,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,22,Develop principles for strong landholder relationships��,"Positive working relationships between landholders and resources companies are essential for sustainable development. The Queensland Government has developed a draft set of principles for strong landholder relationships, which are included in the draft plan for consultation. These principles outline expectations of behaviour for resources companies around coexistence issues. The government will consider all feedback and publish the final version on the Department of Resources website.",3: Foster Coexistence & Sustainable Communities,2022,TBC,1/05/2022,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,23,Review land access and coexistence institutions�,"The Queensland Government will review the land access institutions to ensure they are well aligned, contemporary and efficient. In particular, the review will investigate the scope and functions of the Land Access Ombudsman and GasFields Commission Queensland, including whether: 
� their functions could be expanded to assist in more circumstances 
� these entities could perform their functions under the banner of a single entity. 
While the focus will be on land access institutions, the government will also review: 
� whether roles and responsibilities across agencies and institutions are clear � whether some roles could be better aligned 
� how to reduce duplication and overlap for key coexistence issues, such as water, subsidence and make-good arrangements",3: Foster Coexistence & Sustainable Communities,2022-2023,Commenced,1/03/2022,Department of Resources,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,24,Capture emerging coexistence issues in updated regional plans�,"Some regional plans?set under the Planning Act 2016? pre-date emerging industry activities like the renewable energy industry. The Queensland Government will ensure that, when updated, the regional plans capture the changing and competing demands for land use.",3: Foster Coexistence & Sustainable Communities,Ongoing,,1/05/2022,DSDILGP,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,25,Implement findings of Strong and Sustainable Resource Communities Act review�,"In 2021, the Queensland Government reviewed the effectiveness of the Strong and Sustainable Resource Communities Act 2017 (SSRC). The final report recommends that the government: 
� retain the SSRC Act 
� review the Act further, particularly the effectiveness of the social impact assessment provisions and enhanced Social Impact Assessment Guideline (2018) 
� implement collaborative data collection for the Act 
� improve the awareness and understanding of the anti-discrimination provisions among resource communities. 
We will continue to implement the SSRC Act and these recommendations over coming years. A future review will occur after three large projects have completed the social impact assessment process and been operational for at least one year.",3: Foster Coexistence & Sustainable Communities,Ongoing,,N/A,OCG,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,26,Deliver the Resources Community Infrastructure Fund�,"The Queensland Government has partnered with resources companies through the Queensland Resources Council to deliver the $100 million Resource Community Infrastructure Fund.24 The fund is open to not-for-profit organisations and local councils for community infrastructure projects that provide a positive, long-term benefit to the community. Round 1 of the fund opened in July 2021, with up to $50 million of funding available. The government is considering these applications and will announce successful projects from November 2021. Applications for Round 2 of the fund will be announced soon.",3: Foster Coexistence & Sustainable Communities,2022,,TBC,DSDILGP,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,27,Continue the Local Thriving Communities reform�,"Local Thriving Communities (LTC)30 is a significant and long-term government reform that changes the way we work with Aboriginal and Torres Strait Islander communities to give communities a greater voice in shaping their future. The reform is based on the principles of self-determination, mutual respect and high-expectations relationships. We will continue this reform over coming years.",4: Ensure Strong and Genuine Aboriginal and Torres Strait Islander Partnerships,Ongoing,,20/04/2023,DSDSATSIP,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,28,"Review, strengthen and improve Cultural Heritage Acts�","In 2019, the Queensland Government commenced a review of the two Cultural Heritage Acts to establish how to improve and strengthen them. Stakeholder consultation began, but the review was placed on hold due to COVID-19. We are committed to finalising the review of these Acts to ensure they continue to protect and conserve Queensland?s First Nations peoples cultural heritage, while facilitating business and development activity.",4: Ensure Strong and Genuine Aboriginal and Torres Strait Islander Partnerships,Ongoing,,TBC,DSDSATSIP,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
Ecologist,29,Develop Reconciliation Action Plans�,"The Queensland Government is committed to reconciliation between Aboriginal and Torres Strait Islander peoples and non-Indigenous Queenslanders. To help move towards this, the government has developed the Queensland Government Reconciliation Action Plan 2018?2022.31 The government expects that resources companies will commit to a similar vision. Many companies have already developed reconciliation action plans, and other industry operators are encouraged to do the same. These plans are developed in consultation with Reconciliation Australia.",4: Ensure Strong and Genuine Aboriginal and Torres Strait Islander Partnerships,Ongoing,,N/A,Industry,,,https://images.pexels.com/photos/2892618/pexels-photo-2892618.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750,Image Alt Text
